Cuprite,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Filament,,,,,,,,,,,,,
Filament,TRUE,Sirya Tech ABS-GF,1,,,,,,,,,,
Filament,TRUE,Hatchbox Red ABS,1,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Frame,,,,,,,,,,,,,
V-Slot,TRUE,2040 400mm,2,,,,,,,,,,
V-Slot,TRUE, 2020 330mm,2,,,,,,,,,,
V-Slot,TRUE,4040 290mm,2,,,,,,,,,,
V-Slot,TRUE,4040 330mm,1,,,,,,,,,,
V-Slot,TRUE,4040 250mm,1,,,,,,,,,,
V-Slot,TRUE,2020 290mm,2,,,,,,,,,,
V-Slot,TRUE, 2020 Gantry Back,1,,,,,,,,,,
V-Slot,TRUE,2020 X Axis,1,,,,,,,,,,
V-Slot,TRUE,2020 Vertical,1,,,,,,,,,,
T-Slot,TRUE, 2020 270mm,2,,,,,,,,,,
Oshcut,FALSE,Panels,5,$15.89,$79.45,"Using 50% off coupon, 0 holes",,https://app.oshcut.com/cart/O-d8ce046d-1058-43cf-b4f8,,,,,
Gasket,FALSE,EPDM Foam,1,$8.04,$8.04,,,https://www.aliexpress.us/item/3256805075652387.html?spm=a2g0o.cart.0.0.235338dafm4jzP&mp=1&pdp_npi=5%40dis%21USD%21USD%202.86%21USD%202.68%21%21USD%202.47%21%21%21%402101effb17536355347246482e8467%2112000032401824290%21ct%21US%212824547957%21%213%210&gatewayAdapt=glo2usa,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Gantry,,,,,,,,,,,,,
Rails,FALSE,Mgn 12 210mm,1,$12.33,$12.33,,,,,,,,
Rails,FALSE,Mgn 9 210mm,2,$10.33,$20.66,,,,,,,,
Motors,TRUE,2504 s55,2,,,,,,,,,,
Belt,TRUE,9mm 5M,1,,,,,,,,,,
Pulleys,FALSE,Gt2 20t 9mm,10,$0.68,$6.84,Need to dehub 4,MEGA 20T 10mm  ,,,,,,
Bearings,TRUE,f695,26,,,,,,,,,,
Bearings,FALSE,695 2rs,10,$0.41,$4.05,,Ali 695 ,,,,,,
Standoff,FALSE,m3x30mm 5mmOD,10,$0.95,$9.49,,,https://www.aliexpress.us/item/3256806837028480.html?srcSns=sns_Copy&spreadType=socialShare&bizType=ProductDetail&social_params=60869911150&aff_fcid=ca8a301589654acd8966c5633c655a62-1753636987356-03703-_EvJGB2Z&tt=MG&aff_fsk=_EvJGB2Z&aff_platform=default&sk=_EvJGB2Z&aff_trace_key=ca8a301589654acd8966c5633c655a62-1753636987356-03703-_EvJGB2Z&shareId=60869911150&businessType=ProductDetail&platform=AE&terminal_id=c6b551cdeaca46e9a5582c28ffaea544&afSmartRedirect=y&gatewayAdapt=glo2usa4itemAdapt,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Toolhead,,,,,,,,,,,,,
Hotend,TRUE,Peopoly Hotend,1,,,,,,,,,,
CPAP,FALSE,WS7040 BTT,1,$41.62,$41.62,,,https://www.aliexpress.us/item/3256806907793092.html?spm=a2g0o.cart.0.0.911b38dayyqtdI&mp=1&pdp_npi=5%40dis%21USD%21USD%2041.59%21USD%2039.51%21%21USD%2039.51%21%21%21%402103247917536499407851428e1722%2112000039383016908%21ct%21US%212824547957%21%211%210&gatewayAdapt=glo2usa,,,,,
CPAP,FALSE,CPAP Tube,1,$7.08,$7.08,,,https://www.aliexpress.us/item/3256805769295936.html?spm=a2g0o.cart.0.0.911b38dayyqtdI&mp=1&pdp_npi=5%40dis%21USD%21USD%207.08%21USD%207.08%21%21USD%207.08%21%21%21%402103247917536499407851428e1722%2112000035015630189%21ct%21US%212824547957%21%211%210&gatewayAdapt=glo2usa,,,,,
BMG,TRUE,BMG Gears,1,,,,,,,,,,
Motor,TRUE,Nema 14,1,,,,,,,,,,
Bearings,FALSE,MR115-2RS,10,$0.62,$6.24,,Fushi MR115,,,,,,
SLM,FALSE,SLM Toolhead,1,$75.80,$75.80,,https://www.in3dtec.com/online-quote/,,,,,,
CPAP,FALSE,Hose Clamps,1,$1.90,$1.90,,,https://www.aliexpress.us/item/3256807343760250.html?spm=a2g0o.productlist.main.5.5bd06203sJMeZH&algo_pvid=67859d5d-04b5-4fc3-8b1a-3a041e081889&algo_exp_id=67859d5d-04b5-4fc3-8b1a-3a041e081889-4&pdp_ext_f=%7B%22order%22%3A%225743%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.84%211.84%21%21%2113.10%2113.10%21%40210312d517536498385834685e0ab2%2112000041172982878%21sea%21US%212824547957%21X&curPageLogUid=o3TXIgsgdCUU&utparam-url=scene%3Asearch%7Cquery_from%3A,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Z axis,,,,,,,,,,,,,
Rails,FALSE,MGN12H 200mm,3,$10.00,$30.00,,,,,,,,
Motors,TRUE, Nema 17,3,,,,,,,,,,
Bed,TRUE,160mm SaladFork Bed,1,,,,,,,,,,
Shaft,TRUE,5x60mm,3,,,,,,,,,,
Shaft,TRUE,5x30mm,3,,,,,,,,,,
Bearing,TRUE, F623,3,,,,,,,,,,
Shaft,TRUE,8x60mm,3,,,,,,,,,,
Bearing,TRUE,F695,6,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Other Hardware,,,,,,,,,,,,,
Button,FALSE,M5x10,100,$0.09,$9.48,,,https://www.amazon.com/iexcell-Stainless-Socket-Button-Screws/dp/B0BJVNYWW1/ref=sr_1_4?s=industrial&sr=1-4,,,,,
Button,FALSE,M5x16,50,$0.17,$8.36,,,https://www.amazon.com/iexcell-Stainless-Socket-Button-Screws/dp/B0B5LTPSGN/ref=sr_1_4?s=industrial&sr=1-4,,,,,
T Nuts,FALSE,M5 TNuts,200,$0.03,$6.99,,,https://www.amazon.com/HELIFOUNER-Pieces-2020-Aluminum-Profile/dp/B0B211BNMS/ref=sr_1_1_sspa?s=industrial&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY,,,,,
M3 Screws,TRUE,M3 Screws,,,,,,,,,,,
HeatSets,TRUE,3x4x5mm Heatsets,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Parts Total(Shipping Included),,Tax,Total,,,,,,,,,
From Ali:,,$85.26,$7.33,$92.59,,,,,,,,,
From Amazon:,,$24.83,$5.50,$30.33,,,,,,,,,
Oshcut:,,$79.45,$4.80,$84.25,,,,,,,,,
BST:,,$62.99,$0.00,$62.99,,,,,,,,,
IN3DTEC,,$75.80,$2.00,$77.80,,,,,,,,,
,,,,,,,,,,,,,
Total,$347.96,,,,,,,,,,,,